,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
764,51-2021,51-2021,51-2021.00,51-2021.00,"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, and Finishers",51-2021,51-2021.00,51-2021.00,"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, and Finishers",51-2021,51-2021.00,51-2021.00,"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, and Finishers",51-2021,51-2021.00,51-2021.00,"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, and Finishers"
765,51-2022,51-2022,51-2022.00,51-2022.00,Electrical and Electronic Equipment Assemblers,Electrical and Electronic Equipment Assemblers,51-2022,51-2022.00,51-2022.00,Electrical and Electronic Equipment Assemblers,Electrical and Electronic Equipment Assemblers,51-2022,51-2022.00,51-2022.00,Electrical and Electronic Equipment Assemblers,Electrical and Electronic Equipment Assemblers,51-2022,51-2022.00,51-2022.00,Electrical and Electronic Equipment Assemblers,Electrical and Electronic Equipment Assemblers
766,51-2023,51-2023,51-2023.00,51-2023.00,Electromechanical Equipment Assemblers,Electromechanical Equipment Assemblers,51-2023,51-2023.00,51-2023.00,Electromechanical Equipment Assemblers,Electromechanical Equipment Assemblers,51-2023,51-2023.00,51-2023.00,Electromechanical Equipment Assemblers,Electromechanical Equipment Assemblers,51-2023,51-2023.00,51-2023.00,Electromechanical Equipment Assemblers,Electromechanical Equipment Assemblers
767,51-2031,51-2031,51-2031.00,51-2031.00,Engine and Other Machine Assemblers,Engine and Other Machine Assemblers,51-2031,51-2031.00,51-2031.00,Engine and Other Machine Assemblers,Engine and Other Machine Assemblers,51-2031,51-2031.00,51-2031.00,Engine and Other Machine Assemblers,Engine and Other Machine Assemblers,51-2031,51-2031.00,51-2031.00,Engine and Other Machine Assemblers,Engine and Other Machine Assemblers
768,51-2041,51-2041,51-2041.00 AND 51-2041.01 AND 51-2041.02,51-2041.00,"Structural Metal Fabricators and Fitters AND Metal Fabricators, Structural Metal Products AND Fitters, Structural Metal- Precision",Structural Metal Fabricators and Fitters,51-2041,51-2041.00,51-2041.00,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitters,51-2041,51-2041.00,51-2041.00,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitters,51-2041,51-2041.00,51-2041.00,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitters
769,51-2091,51-2091,51-2091.00,51-2091.00,Fiberglass Laminators and Fabricators,Fiberglass Laminators and Fabricators,51-2091,51-2091.00,51-2091.00,Fiberglass Laminators and Fabricators,Fiberglass Laminators and Fabricators,51-2091,51-2091.00,51-2091.00,Fiberglass Laminators and Fabricators,Fiberglass Laminators and Fabricators,51-2051,51-2091.00,51-2051.00,Fiberglass Laminators and Fabricators,Fiberglass Laminators and Fabricators
770,51-2092,51-2092,51-2092.00,51-2092.00,Team Assemblers,Team Assemblers,51-2092,51-2092.00,51-2092.00,Team Assemblers,Team Assemblers,51-2092,51-2092.00,51-2092.00,Team Assemblers,Team Assemblers,51-2092,51-2092.00,51-2092.00,Team Assemblers,Team Assemblers
771,51-2093,51-2093,51-2093.00,51-2093.00,"Timing Device Assemblers, Adjusters, and Calibrators","Timing Device Assemblers, Adjusters, and Calibrators",51-2093,51-2093.00,51-2093.00,"Timing Device Assemblers, Adjusters, and Calibrators","Timing Device Assemblers, Adjusters, and Calibrators",51-2093,51-2093.00,51-2093.00,"Timing Device Assemblers, Adjusters, and Calibrators",Timing Device Assemblers and Adjusters,51-2061,51-2093.00,51-2061.00,Timing Device Assemblers and Adjusters,Timing Device Assemblers and Adjusters
772,51-2099,51-2099,51-2099.99,51-2099.99,"Assemblers and Fabricators, All Other","Assemblers and Fabricators, All Other",51-2099,51-2099.99,51-2099.00,"Assemblers and Fabricators, All Other","Assemblers and Fabricators, All Other",51-2099,51-2099.00,51-2099.00,"Assemblers and Fabricators, All Other","Assemblers and Fabricators, All Other",51-2099,51-2099.00,51-2099.00,"Assemblers and Fabricators, All Other","Assemblers and Fabricators, All Other"
773,51-3011,51-3011,51-3011.00 AND 51-3011.02,51-3011.00,"Bakers AND Bakers, Manufacturing",Bakers,51-3011,51-3011.00,51-3011.00,Bakers,Bakers,51-3011,51-3011.00,51-3011.00,Bakers,Bakers,51-3011,51-3011.00,51-3011.00,Bakers,Bakers
774,51-3021,51-3021,51-3021.00,51-3021.00,Butchers and Meat Cutters,Butchers and Meat Cutters,51-3021,51-3021.00,51-3021.00,Butchers and Meat Cutters,Butchers and Meat Cutters,51-3021,51-3021.00,51-3021.00,Butchers and Meat Cutters,Butchers and Meat Cutters,51-3021,51-3021.00,51-3021.00,Butchers and Meat Cutters,Butchers and Meat Cutters
775,51-3022,51-3022,51-3022.00,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmers",51-3022,51-3022.00,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmers",51-3022,51-3022.00,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmers",51-3022,51-3022.00,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmers"
776,51-3023,51-3023,51-3023.00,51-3023.00,Slaughterers and Meat Packers,Slaughterers and Meat Packers,51-3023,51-3023.00,51-3023.00,Slaughterers and Meat Packers,Slaughterers and Meat Packers,51-3023,51-3023.00,51-3023.00,Slaughterers and Meat Packers,Slaughterers and Meat Packers,51-3023,51-3023.00,51-3023.00,Slaughterers and Meat Packers,Slaughterers and Meat Packers
777,51-3091,51-3091,51-3091.00,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,51-3091.00,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,51-3091.00,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,51-3091.00,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
778,51-3092,51-3092,51-3092.00,51-3092.00,Food Batchmakers,Food Batchmakers,51-3092,51-3092.00,51-3092.00,Food Batchmakers,Food Batchmakers,51-3092,51-3092.00,51-3092.00,Food Batchmakers,Food Batchmakers,51-3092,51-3092.00,51-3092.00,Food Batchmakers,Food Batchmakers
779,51-3093,51-3093,51-3093.00,51-3093.00,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators and Tenders,51-3093,51-3093.00,51-3093.00,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators and Tenders,51-3093,51-3093.00,51-3093.00,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators and Tenders,51-3093,51-3093.00,51-3093.00,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators and Tenders
780,51-4011,51-4011,51-4011.00 AND 51-4011.01,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic AND Numerical Control Machine Tool Operators and Tenders, Metal and Plastic","Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011,51-4011.00,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic","Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011,51-4011.00,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic","Computer-Controlled Machine Tool Operators, Metal and Plastic",51-9161,51-4011.00,51-9161.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Computer Numerically Controlled Tool Operators
781,51-4012,51-4012,51-4012.00,51-4012.00,Numerical Tool and Process Control Programmers,Numerical Tool and Process Control Programmers,51-4012,51-4012.00,51-4012.00,Numerical Tool and Process Control Programmers,Numerical Tool and Process Control Programmers,51-4012,51-4012.00,51-4012.00,Numerical Tool and Process Control Programmers,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-9162,51-4012.00,51-9162.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Computer Numerically Controlled Tool Programmers
782,51-4021,51-4021,51-4021.00,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,51-4021.00,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,51-4021.00,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,51-4021.00,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
783,51-4022,51-4022,51-4022.00,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,51-4022.00,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,51-4022.00,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,51-4022.00,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
784,51-4023,51-4023,51-4023.00,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,51-4023.00,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,51-4023.00,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,51-4023.00,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
785,51-4031,51-4031,51-4031.00 AND 51-4031.01 AND 51-4031.02 AND 51-4031.03 AND 51-4031.04,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic AND Sawing Machine Tool Setters and Set-Up Operators, Metal and Plastic AND Punching Machine Setters and Set-Up Operators, Metal and Plastic AND Press and Press Brake Machine Setters and Set-Up Operators, Metal and Plastic AND Shear and Slitter Machine Setters and Set-Up Operators, Metal and Plastic","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,51-4031.00,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,51-4031.00,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,51-4031.00,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
786,51-4032,51-4032,51-4032.00,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,51-4032.00,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,51-4032.00,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,51-4032.00,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
787,51-4033,51-4033,51-4033.00 AND 51-4033.01 AND 51-4033.02,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic AND Grinding, Honing, Lapping, and Deburring Machine Set-Up Operators AND Buffing and Polishing Set-Up Operators","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,51-4033.00,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,51-4033.00,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,51-4033.00,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
788,51-4034,51-4034,51-4034.00,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,51-4034.00,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,51-4034.00,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,51-4034.00,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
789,51-4035,51-4035,51-4035.00,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,51-4035.00,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,51-4035.00,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,51-4035.00,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
790,51-4041,51-4041,51-4041.00,51-4041.00,Machinists,Machinists,51-4041,51-4041.00,51-4041.00,Machinists,Machinists,51-4041,51-4041.00,51-4041.00,Machinists,Machinists,51-4041,51-4041.00,51-4041.00,Machinists,Machinists
791,51-4051,51-4051,51-4051.00,51-4051.00,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators and Tenders,51-4051,51-4051.00,51-4051.00,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators and Tenders,51-4051,51-4051.00,51-4051.00,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators and Tenders,51-4051,51-4051.00,51-4051.00,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators and Tenders
792,51-4052,51-4052,51-4052.00,51-4052.00,"Pourers and Casters, Metal","Pourers and Casters, Metal",51-4052,51-4052.00,51-4052.00,"Pourers and Casters, Metal","Pourers and Casters, Metal",51-4052,51-4052.00,51-4052.00,"Pourers and Casters, Metal","Pourers and Casters, Metal",51-4052,51-4052.00,51-4052.00,"Pourers and Casters, Metal","Pourers and Casters, Metal"
793,51-4061,51-4061,51-4061.00,51-4061.00,"Model Makers, Metal and Plastic","Model Makers, Metal and Plastic",51-4061,51-4061.00,51-4061.00,"Model Makers, Metal and Plastic","Model Makers, Metal and Plastic",51-4061,51-4061.00,51-4061.00,"Model Makers, Metal and Plastic","Model Makers, Metal and Plastic",51-4061,51-4061.00,51-4061.00,"Model Makers, Metal and Plastic","Model Makers, Metal and Plastic"
794,51-4062,51-4062,51-4062.00,51-4062.00,"Patternmakers, Metal and Plastic","Patternmakers, Metal and Plastic",51-4062,51-4062.00,51-4062.00,"Patternmakers, Metal and Plastic","Patternmakers, Metal and Plastic",51-4062,51-4062.00,51-4062.00,"Patternmakers, Metal and Plastic","Patternmakers, Metal and Plastic",51-4062,51-4062.00,51-4062.00,"Patternmakers, Metal and Plastic","Patternmakers, Metal and Plastic"
795,51-4071,51-4071,51-4071.00,51-4071.00,Foundry Mold and Coremakers,Foundry Mold and Coremakers,51-4071,51-4071.00,51-4071.00,Foundry Mold and Coremakers,Foundry Mold and Coremakers,51-4071,51-4071.00,51-4071.00,Foundry Mold and Coremakers,Foundry Mold and Coremakers,51-4071,51-4071.00,51-4071.00,Foundry Mold and Coremakers,Foundry Mold and Coremakers
796,51-4072,51-4072,51-4072.00 AND 51-4072.01 AND 51-4072.02 AND 51-4072.03 AND 51-4072.04 AND 51-4072.05,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic AND Plastic Molding and Casting Machine Setters and Set-Up Operators AND Plastic Molding and Casting Machine Operators and Tenders AND Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators AND Metal Molding, Coremaking, and Casting Machine Operators and Tenders AND Casting Machine Set-Up Operators","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,51-4072.00,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,51-4072.00,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,51-4072.00,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
797,51-9195,51-4072,51-9195.02,51-4072.00,"Precision Pattern and Die Casters, Nonferrous Metals","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,51-4072.00,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,51-4072.00,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,51-4072.00,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
798,51-4081,51-4081,51-4081.00 AND 51-4081.01 AND 51-4081.02,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic AND Combination Machine Tool Setters and Set-Up Operators, Metal and Plastic AND Combination Machine Tool Operators and Tenders, Metal and Plastic","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,51-4081.00,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,51-4081.00,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,51-4081.00,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
799,51-4111,51-4111,51-4111.00,51-4111.00,Tool and Die Makers,Tool and Die Makers,51-4111,51-4111.00,51-4111.00,Tool and Die Makers,Tool and Die Makers,51-4111,51-4111.00,51-4111.00,Tool and Die Makers,Tool and Die Makers,51-4111,51-4111.00,51-4111.00,Tool and Die Makers,Tool and Die Makers
800,51-4121,51-4121,51-4121.00 AND 51-4121.01 AND 51-4121.02 AND 51-4121.03 AND 51-4121.04 AND 51-4121.05,51-4121.00 AND 51-4121.06 AND 51-4121.07,"Welders, Cutters, Solderers, and Brazers AND Welders, Production AND Welders and Cutters AND Welder-Fitters AND Solderers AND Brazers","Welders, Cutters, Solderers, and Brazers AND Welders, Cutters, and Welder Fitters AND Solderers and Brazers",51-4121,51-4121.00 AND 51-4121.06 AND 51-4121.07,51-4121.00 AND 51-4121.06 AND 51-4121.07,"Welders, Cutters, Solderers, and Brazers AND Welders, Cutters, and Welder Fitters AND Solderers and Brazers","Welders, Cutters, Solderers, and Brazers AND Welders, Cutters, and Welder Fitters AND Solderers and Brazers",51-4121,51-4121.00 AND 51-4121.06 AND 51-4121.07,51-4121.00 AND 51-4121.06 AND 51-4121.07,"Welders, Cutters, Solderers, and Brazers AND Welders, Cutters, and Welder Fitters AND Solderers and Brazers","Welders, Cutters, Solderers, and Brazers AND Welders, Cutters, and Welder Fitters AND Solderers and Brazers",51-4121,51-4121.00 AND 51-4121.06 AND 51-4121.07,51-4121.00,"Welders, Cutters, Solderers, and Brazers AND Welders, Cutters, and Welder Fitters AND Solderers and Brazers","Welders, Cutters, Solderers, and Brazers"
801,51-4122,51-4122,51-4122.00 AND 51-4122.01 AND 51-4122.02 AND 51-4122.03 AND 51-4122.04,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders AND Welding Machine Setters and Set-Up Operators AND Welding Machine Operators and Tenders AND Soldering and Brazing Machine Setters and Set-Up Operators AND Soldering and Brazing Machine Operators and Tenders","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,51-4122.00,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,51-4122.00,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,51-4122.00,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
802,51-4191,51-4191,51-4191.00 AND 51-4191.01 AND 51-4191.02 AND 51-4191.03,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic AND Heating Equipment Setters and Set-Up Operators, Metal and Plastic AND Heat Treating, Annealing, and Tempering Machine Operators and Tenders, Metal and Plastic AND Heaters, Metal and Plastic","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,51-4191.00,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,51-4191.00,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,51-4191.00,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
803,51-4192,51-4192,51-4192.00,51-4192.00,"Lay-Out Workers, Metal and Plastic","Lay-Out Workers, Metal and Plastic",51-4192,51-4192.00,51-4192.00,"Lay-Out Workers, Metal and Plastic","Lay-Out Workers, Metal and Plastic",51-4192,51-4192.00,51-4192.00,"Lay-Out Workers, Metal and Plastic","Layout Workers, Metal and Plastic",51-4192,51-4192.00,51-4192.00,"Layout Workers, Metal and Plastic","Layout Workers, Metal and Plastic"
804,51-4193,51-4193,51-4193.00 AND 51-4193.01 AND 51-4193.02 AND 51-4193.03 AND 51-4193.04,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic AND Electrolytic Plating and Coating Machine Setters and Set-Up Operators, Metal and Plastic AND Electrolytic Plating and Coating Machine Operators and Tenders, Metal and Plastic AND Nonelectrolytic Plating and Coating Machine Setters and Set-Up Operators, Metal and Plastic AND Nonelectrolytic Plating and Coating Machine Operators and Tenders, Metal and Plastic","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,51-4193.00,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,51-4193.00,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,51-4193.00,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
805,51-4194,51-4194,51-4194.00,51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpeners",51-4194,51-4194.00,51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpeners",51-4194,51-4194.00,51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpeners",51-4194,51-4194.00,51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpeners"
806,51-4199,51-4199,51-4199.99,51-4199.99,"Metal Workers and Plastic Workers, All Other","Metal Workers and Plastic Workers, All Other",51-4199,51-4199.99,51-4199.00,"Metal Workers and Plastic Workers, All Other","Metal Workers and Plastic Workers, All Other",51-4199,51-4199.00,51-4199.00,"Metal Workers and Plastic Workers, All Other","Metal Workers and Plastic Workers, All Other",51-4199,51-4199.00,51-4199.00,"Metal Workers and Plastic Workers, All Other","Metal Workers and Plastic Workers, All Other"
807,51-5011,51-5011,51-5011.00 AND 51-5011.01 AND 51-5011.02,51-5011.00,Bindery Workers AND Bindery Machine Setters and Set-Up Operators AND Bindery Machine Operators and Tenders,Bindery Workers,51-5011,51-5011.00,51-5011.00,Bindery Workers,Bindery Workers,51-5113,51-5011.00,51-5113.00,Bindery Workers,Print Binding and Finishing Workers,51-5113,51-5113.00,51-5113.00,Print Binding and Finishing Workers,Print Binding and Finishing Workers
808,51-5012,51-5012,51-5012.00,51-5012.00,Bookbinders,Bookbinders,51-5012,51-5012.00,51-5012.00,Bookbinders,Bookbinders,51-5113,51-5012.00,51-5113.00,Bookbinders,Print Binding and Finishing Workers,51-5113,51-5113.00,51-5113.00,Print Binding and Finishing Workers,Print Binding and Finishing Workers
809,51-5021,51-5021,51-5021.00,51-5021.00,Job Printers,Job Printers,51-5021,51-5021.00,51-5021.00,Job Printers,Job Printers,51-5113,51-5021.00,51-5113.00,Job Printers,Print Binding and Finishing Workers,51-5113,51-5113.00,51-5113.00,Print Binding and Finishing Workers,Print Binding and Finishing Workers
