,O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2006 Code,O*NET-SOC 2006 Title_x,O*NET-SOC 2006 Title_y,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title_x,O*NET-SOC 2009 Title_y,O*NET-SOC 2010 Code,O*NET-SOC 2010 Title
923,51-4193.04,"Nonelectrolytic Plating and Coating Machine Operators and Tenders, Metal and Plastic",51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
924,51-4194.00,"Tool Grinders, Filers, and Sharpeners",51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpeners",51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpeners",51-4194.00,"Tool Grinders, Filers, and Sharpeners"
925,51-4199.99,"Metal Workers and Plastic Workers, All Other",51-4199.99,"Metal Workers and Plastic Workers, All Other","Metal Workers and Plastic Workers, All Other",51-4199.00,"Metal Workers and Plastic Workers, All Other","Metal Workers and Plastic Workers, All Other",51-4199.00,"Metal Workers and Plastic Workers, All Other"
926,51-5011.00,Bindery Workers,51-5011.00,Bindery Workers,Bindery Workers,51-5011.00,Bindery Workers,Bindery Workers,51-5113.00,Print Binding and Finishing Workers
927,51-5011.01,Bindery Machine Setters and Set-Up Operators,51-5011.00,Bindery Workers,Bindery Workers,51-5011.00,Bindery Workers,Bindery Workers,51-5113.00,Print Binding and Finishing Workers
928,51-5011.02,Bindery Machine Operators and Tenders,51-5011.00,Bindery Workers,Bindery Workers,51-5011.00,Bindery Workers,Bindery Workers,51-5113.00,Print Binding and Finishing Workers
929,51-5012.00,Bookbinders,51-5012.00,Bookbinders,Bookbinders,51-5012.00,Bookbinders,Bookbinders,51-5113.00,Print Binding and Finishing Workers
930,51-5021.00,Job Printers,51-5021.00,Job Printers,Job Printers,51-5021.00,Job Printers,Job Printers,51-5112.00,Printing Press Operators
931,51-5021.00,Job Printers,51-5021.00,Job Printers,Job Printers,51-5021.00,Job Printers,Job Printers,51-5113.00,Print Binding and Finishing Workers
932,51-5022.00,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
933,51-5022.01,Hand Compositors and Typesetters,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
934,51-5022.02,Paste-Up Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
935,51-5022.03,Photoengravers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
936,51-5022.04,Camera Operators,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
937,51-5022.05,Scanner Operators,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
938,51-5022.06,Strippers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
939,51-5022.07,Platemakers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
940,51-5022.08,Dot Etchers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
941,51-5022.09,Electronic Masking System Operators,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
942,51-5022.10,Electrotypers and Stereotypers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
943,51-5022.11,Plate Finishers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
944,51-5022.12,Typesetting and Composing Machine Operators and Tenders,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
945,51-5022.13,Photoengraving and Lithographing Machine Operators and Tenders,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111.00,Prepress Technicians and Workers
946,51-5023.00,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
947,51-5023.01,Precision Printing Workers,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
948,51-5023.02,Offset Lithographic Press Setters and Set-Up Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
949,51-5023.03,Letterpress Setters and Set-Up Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
950,51-5023.04,Design Printing Machine Setters and Set-Up Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
951,51-5023.05,Marking and Identification Printing Machine Setters and Set-Up Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
952,51-5023.06,Screen Printing Machine Setters and Set-Up Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
953,51-5023.07,Embossing Machine Set-Up Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
954,51-5023.08,Engraver Set-Up Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
955,51-5023.09,Printing Press Machine Operators and Tenders,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112.00,Printing Press Operators
956,51-6011.00,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers
957,51-6011.01,"Spotters, Dry Cleaning",51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers
958,51-6011.02,Precision Dyers,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers
959,51-6011.03,"Laundry and Drycleaning Machine Operators and Tenders, Except Pressing",51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011.00,Laundry and Dry-Cleaning Workers
960,51-6021.00,"Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials"
961,51-6021.01,"Pressers, Delicate Fabrics",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials"
962,51-6021.02,"Pressing Machine Operators and Tenders- Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials"
963,51-6021.03,"Pressers, Hand",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials"
964,51-6031.00,Sewing Machine Operators,51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031.00,Sewing Machine Operators
965,51-6031.01,"Sewing Machine Operators, Garment",51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031.00,Sewing Machine Operators
966,51-6031.02,"Sewing Machine Operators, Non-Garment",51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031.00,Sewing Machine Operators
967,51-6041.00,Shoe and Leather Workers and Repairers,51-6041.00,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,51-6041.00,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,51-6041.00,Shoe and Leather Workers and Repairers
968,51-6042.00,Shoe Machine Operators and Tenders,51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,51-6042.00,Shoe Machine Operators and Tenders
969,51-6051.00,"Sewers, Hand",51-6051.00,"Sewers, Hand","Sewers, Hand",51-6051.00,"Sewers, Hand","Sewers, Hand",51-6051.00,"Sewers, Hand"
970,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
971,51-6052.01,Shop and Alteration Tailors,51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
972,51-6052.02,Custom Tailors,51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
973,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
974,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tenders",51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tenders",51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
975,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
976,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
977,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
978,51-6091.01,"Extruding and Forming Machine Operators and Tenders, Synthetic or Glass Fibers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
979,51-6092.00,Fabric and Apparel Patternmakers,51-6092.00,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,51-6092.00,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,51-6092.00,Fabric and Apparel Patternmakers
980,51-6093.00,Upholsterers,51-6093.00,Upholsterers,Upholsterers,51-6093.00,Upholsterers,Upholsterers,51-6093.00,Upholsterers
981,51-6099.99,"Textile, Apparel, and Furnishings Workers, All Other",51-6099.99,"Textile, Apparel, and Furnishings Workers, All Other","Textile, Apparel, and Furnishings Workers, All Other",51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other","Textile, Apparel, and Furnishings Workers, All Other",51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
982,51-7011.00,Cabinetmakers and Bench Carpenters,51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,51-7011.00,Cabinetmakers and Bench Carpenters
983,51-7021.00,Furniture Finishers,51-7021.00,Furniture Finishers,Furniture Finishers,51-7021.00,Furniture Finishers,Furniture Finishers,51-7021.00,Furniture Finishers
984,51-7031.00,"Model Makers, Wood",51-7031.00,"Model Makers, Wood","Model Makers, Wood",51-7031.00,"Model Makers, Wood","Model Makers, Wood",51-7031.00,"Model Makers, Wood"
985,51-7032.00,"Patternmakers, Wood",51-7032.00,"Patternmakers, Wood","Patternmakers, Wood",51-7032.00,"Patternmakers, Wood","Patternmakers, Wood",51-7032.00,"Patternmakers, Wood"
986,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
987,51-7041.01,Sawing Machine Setters and Set-Up Operators,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
988,51-7041.02,Sawing Machine Operators and Tenders,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
989,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
990,51-7042.01,"Woodworking Machine Setters and Set-Up Operators, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
991,51-7042.02,"Woodworking Machine Operators and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
992,51-7099.99,"Woodworkers, All Other",51-7099.99,"Woodworkers, All Other","Woodworkers, All Other",51-7099.00,"Woodworkers, All Other","Woodworkers, All Other",51-7099.00,"Woodworkers, All Other"
993,51-8011.00,Nuclear Power Reactor Operators,51-8011.00,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators,51-8011.00,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators,51-8011.00,Nuclear Power Reactor Operators
994,51-8012.00,Power Distributors and Dispatchers,51-8012.00,Power Distributors and Dispatchers,Power Distributors and Dispatchers,51-8012.00,Power Distributors and Dispatchers,Power Distributors and Dispatchers,51-8012.00,Power Distributors and Dispatchers
995,51-8013.00,Power Plant Operators,51-8013.00,Power Plant Operators,Power Plant Operators,51-8013.00,Power Plant Operators,Power Plant Operators,51-8013.00,Power Plant Operators
996,51-8013.01,"Power Generating Plant Operators, Except Auxiliary Equipment Operators",51-8013.00,Power Plant Operators,Power Plant Operators,51-8013.00,Power Plant Operators,Power Plant Operators,51-8013.00,Power Plant Operators
997,51-8013.02,"Auxiliary Equipment Operators, Power",51-8013.00,Power Plant Operators,Power Plant Operators,51-8013.00,Power Plant Operators,Power Plant Operators,51-8013.00,Power Plant Operators
998,51-8021.00,Stationary Engineers and Boiler Operators,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021.00,Stationary Engineers and Boiler Operators
999,51-8021.01,"Boiler Operators and Tenders, Low Pressure",51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021.00,Stationary Engineers and Boiler Operators
1000,51-8021.02,Stationary Engineers,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021.00,Stationary Engineers and Boiler Operators
1001,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,Water and Liquid Waste Treatment Plant and System Operators,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,Water and Liquid Waste Treatment Plant and System Operators,51-8031.00,Water and Wastewater Treatment Plant and System Operators
1002,51-8091.00,Chemical Plant and System Operators,51-8091.00,Chemical Plant and System Operators,Chemical Plant and System Operators,51-8091.00,Chemical Plant and System Operators,Chemical Plant and System Operators,51-8091.00,Chemical Plant and System Operators
1003,51-8092.00,Gas Plant Operators,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092.00,Gas Plant Operators
1004,51-8092.01,Gas Processing Plant Operators,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092.00,Gas Plant Operators
1005,51-8092.02,Gas Distribution Plant Operators,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092.00,Gas Plant Operators
1006,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
1007,51-8093.01,Petroleum Pump System Operators,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
1008,51-8093.02,Petroleum Refinery and Control Panel Operators,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
1009,51-8093.03,Gaugers,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
1010,51-8099.99,"Plant and System Operators, All Other",51-8099.99,"Plant and System Operators, All Other","Plant and System Operators, All Other",51-8099.00,"Plant and System Operators, All Other","Plant and System Operators, All Other",51-8099.00,"Plant and System Operators, All Other"
1011,51-9011.00,Chemical Equipment Operators and Tenders,51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,51-9011.00,Chemical Equipment Operators and Tenders
1012,51-9011.01,Chemical Equipment Controllers and Operators,51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,51-9011.00,Chemical Equipment Operators and Tenders
1013,51-9011.02,Chemical Equipment Tenders,51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,51-9011.00,Chemical Equipment Operators and Tenders
1014,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
1015,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
1016,51-9022.00,"Grinding and Polishing Workers, Hand",51-9022.00,"Grinding and Polishing Workers, Hand","Grinding and Polishing Workers, Hand",51-9022.00,"Grinding and Polishing Workers, Hand","Grinding and Polishing Workers, Hand",51-9022.00,"Grinding and Polishing Workers, Hand"
1017,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders","Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders","Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
1018,51-9031.00,"Cutters and Trimmers, Hand",51-9031.00,"Cutters and Trimmers, Hand","Cutters and Trimmers, Hand",51-9031.00,"Cutters and Trimmers, Hand","Cutters and Trimmers, Hand",51-9031.00,"Cutters and Trimmers, Hand"
1019,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
1020,51-9032.01,Fiber Product Cutting Machine Setters and Set-Up Operators,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
1021,51-9032.02,Stone Sawyers,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
1022,51-9032.03,Glass Cutting Machine Setters and Set-Up Operators,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
1023,51-9032.04,Cutting and Slicing Machine Operators and Tenders,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
